"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
1,"New Zealand",1972,"Labour Party",48.37,55,87,4.483,3.9889,3.5,"(1969,1974]","Social democracy"
1,"New Zealand",1972,"National Party",41.5,32,87,6.7193,7.2299,7,"(1969,1974]","Conservative"
1,"New Zealand",1972,"Social Credit | Democratic Party",6.65,0,87,5.6,NA,NA,"(1969,1974]","Special issue"
1,"New Zealand",1972,"Values Party",1.96,0,87,2.5,2.5,1.8,"(1969,1974]","Green/Ecologist"
2,"Belgium",1999,"Confederated ecologists for the organisation of original struggles",7.3,11,150,2.641,2.3887,1.3744,"(1994,1999]","Green/Ecologist"
2,"Belgium",1999,"National Front",1.45,1,150,9.655,8.0831,9.1382,"(1994,1999]","Right-wing"
2,"Belgium",1999,"People's Union",5.56,8,150,6.5321,5.8809,6.06,"(1994,1999]","Right-wing"
2,"Belgium",1999,"Liberal Reformist Party",10.14,18,150,6.8551,7.2667,4.4381,"(1994,1999]","Liberal"
2,"Belgium",1999,"Alive",2.1,0,150,6,6.7,3.5,"(1994,1999]","Liberal"
2,"Belgium",1999,"Flemish Christian Peoples Party",14.09,22,150,5.7667,5.5876,7.2083,"(1994,1999]","Christian democracy"
2,"Belgium",1999,"Flemish Block",9.87,15,150,9.6622,7.695,9.5234,"(1994,1999]","Right-wing"
2,"Belgium",1999,"Socialist Party",9.55,14,150,3.2459,3.0183,3.0805,"(1994,1999]","Social democracy"
2,"Belgium",1999,"Party of Liberty and Progress | Flemish Liberals and Democrats",14.3,23,150,7.0053,7.7639,3.7139,"(1994,1999]","Liberal"
2,"Belgium",1999,"Francophone Christian Social Party -- Humanist Democratic Centre",5.88,10,150,5.4974,5.3711,6.6409,"(1994,1999]","Christian democracy"
2,"Belgium",1999,"Socialist Party [Francophone]",10.16,19,150,2.9307,2.5938,3.1712,"(1994,1999]","Social democracy"
2,"Belgium",1999,"Agalev -- Green",6.99,9,150,2.5762,2.0089,1.0234,"(1994,1999]","Green/Ecologist"
3,"Norway",2005,"Socialist Left Party",8.8,15,169,1.5839,1.3534,1.5038,"(2004,2009]","Communist/Socialist"
3,"Norway",2005,"Norwegian Labour Party",32.7,61,169,3.3706,2.9574,2.7105,"(2004,2009]","Social democracy"
3,"Norway",2005,"Progress Party",22.1,38,169,8.7595,7.5,5.5388,"(2004,2009]","Right-wing"
3,"Norway",2005,"Liberal Party of Norway",5.9,10,169,5.1467,5.9148,3.2581,"(2004,2009]","Liberal"
3,"Norway",2005,"Centre Party",6.5,11,169,4.6565,2.807,5.7644,"(2004,2009]","Agrarian"
3,"Norway",2005,"Conservative Party",14.1,23,169,7.8994,8.2957,3.584,"(2004,2009]","Conservative"
3,"Norway",2005,"Christian Democratic Party",6.8,11,169,5.8516,4.5865,9.198,"(2004,2009]","Christian democracy"
3,"Norway",2005,"Red Electoral Alliance",1.2,0,169,0.4089,0.5764,1,"(2004,2009]","Communist/Socialist"
4,"Romania",2007,"Conservative Party",NA,2,35,4.7622,4.7538,6.2779,"(2004,2009]","Conservative"
4,"Romania",2007,"Democratic Party",NA,5,35,5.3875,5.1868,3.9647,"(2004,2009]","Liberal"
4,"Romania",2007,"Romanian ethnic minorities parties",NA,1,35,NA,NA,NA,"(2004,2009]",NA
4,"Romania",2007,"Greater Romania Party",NA,5,35,6.6618,2.1497,9.5131,"(2004,2009]","Right-wing"
4,"Romania",2007,"no party affiliation",NA,1,35,NA,NA,NA,"(2004,2009]",NA
4,"Romania",2007,"Democratic Union of Hungarians in Romania",NA,3,35,6.016,5.9825,3.8813,"(2004,2009]","Conservative"
4,"Romania",2007,"National Liberal Party",NA,6,35,6.0543,7.245,3.5474,"(2004,2009]","Liberal"
4,"Romania",2007,"Social Democratic Party",NA,12,35,3.2325,2.4518,6.2794,"(2004,2009]","Social democracy"
5,"Portugal",2009,"Democratic and Social Centre -- People's Party",8.95,2,22,8.0222,8.1963,8.9916,"(2004,2009]","Christian democracy"
5,"Portugal",2009,"Communist Party of the Portuguese Workers / Reorganizative Movement of the Party of the Proletariat",1.29,0,22,1.3,1.4,3,"(2004,2009]","Communist/Socialist"
5,"Portugal",2009,"Portuguese Communist Party",NA,2,22,2.1754,1.6343,1.6291,"(2004,2009]","Communist/Socialist"
5,"Portugal",2009,"Bloc of the Left",11.48,3,22,1.6425,1.9526,1.267,"(2004,2009]","Communist/Socialist"
5,"Portugal",2009,"Socialist Party",28.41,7,22,4.0492,4.2716,3.5411,"(2004,2009]","Social democracy"
5,"Portugal",2009,"Hope for Portugal Movement",1.65,0,22,6,6.7,3.5,"(2004,2009]","Liberal"
5,"Portugal",2009,"Social Democratic Party",33.95,8,22,6.2949,6.8488,7.0224,"(2004,2009]","Liberal"
5,"Portugal",2009,"Unified Democratic Coalition",11.39,0,22,2.2233,1.48,2.6433,"(2004,2009]","Communist/Socialist"
6,"Ireland",1977,"no party affiliation",NA,4,148,NA,NA,NA,"(1974,1979]",NA
6,"Ireland",1977,"Fianna Fail",50.63,84,148,6.0713,5.8991,6.9898,"(1974,1979]","Conservative"
6,"Ireland",1977,"Labour Party",11.63,17,148,3.6252,3.353,3.1071,"(1974,1979]","Social democracy"
6,"Ireland",1977,"Sinn Fein The Workers' Party",1.7,0,148,1.3,1.4,3,"(1974,1979]","Communist/Socialist"
6,"Ireland",1977,"Fine Gael (Familiy of the Irish)",30.49,43,148,6.4372,6.1603,5.787,"(1974,1979]","Christian democracy"
8,"Malta",1971,"Progressive Constitutionalist Party",1.04,0,55,7.4,6.4,7,"(1969,1974]","Conservative"
8,"Malta",1971,"Nationalist Party",48.05,27,55,5.7143,4.6617,6.9173,"(1969,1974]","Conservative"
8,"Malta",1971,"Malta Labour Party",50.84,28,55,4.2105,5.1128,6.3158,"(1969,1974]","Social democracy"
10,"Belgium",1984,"Confederated ecologists for the organisation of original struggles",3.86,1,24,2.641,2.3887,1.3744,"(1979,1984]","Green/Ecologist"
10,"Belgium",1984,"People's Union",8.47,2,24,6.5321,5.8809,6.06,"(1979,1984]","Right-wing"
10,"Belgium",1984,"Liberal Reformist Party",9.45,3,24,6.8551,7.2667,4.4381,"(1979,1984]","Liberal"
10,"Belgium",1984,"Communist Party",1.53,0,24,1.4,1.4,3,"(1979,1984]","Communist/Socialist"
10,"Belgium",1984,"Flemish Christian Peoples Party",19.8,4,24,5.7667,5.5876,7.2083,"(1979,1984]","Christian democracy"
10,"Belgium",1984,"Francophone Democratic Front",2.5,0,24,6.1259,6.25,5.8,"(1979,1984]","Liberal"
10,"Belgium",1984,"Flemish Block",1.28,0,24,9.6622,7.695,9.5234,"(1979,1984]","Right-wing"
10,"Belgium",1984,"Socialist Party",17.12,4,24,3.2459,3.0183,3.0805,"(1979,1984]","Social democracy"
10,"Belgium",1984,"Party of Liberty and Progress | Flemish Liberals and Democrats",8.64,2,24,7.0053,7.7639,3.7139,"(1979,1984]","Liberal"
10,"Belgium",1984,"Francophone Christian Social Party -- Humanist Democratic Centre",7.62,2,24,5.4974,5.3711,6.6409,"(1979,1984]","Christian democracy"
10,"Belgium",1984,"Socialist Party [Francophone]",13.32,5,24,2.9307,2.5938,3.1712,"(1979,1984]","Social democracy"
10,"Belgium",1984,"Agalev -- Green",4.31,1,24,2.5762,2.0089,1.0234,"(1979,1984]","Green/Ecologist"
11,"Austria",1953,"Freedom Party of Austria",10.9,14,165,8.3494,6.3291,8.5149,"(1949,1954]","Right-wing"
11,"Austria",1953,"Communist Party of Austria",5.3,4,165,0.5,1.4,3,"(1949,1954]","Communist/Socialist"
11,"Austria",1953,"Social Democratic Party of Austria",42.1,73,165,3.7293,3.4728,3.4766,"(1949,1954]","Social democracy"
11,"Austria",1953,"Austrian People's Party",41.3,74,165,6.4733,6.9485,7.6198,"(1949,1954]","Christian democracy"
11,"Austria",1953,"no seat",0.13,0,165,NA,NA,NA,"(1949,1954]",NA
13,"Austria",1995,"Freedom Party of Austria",NA,5,21,8.3494,6.3291,8.5149,"(1994,1999]","Right-wing"
13,"Austria",1995,"Liberal Forum",NA,1,21,4.8806,7.3667,1.8667,"(1994,1999]","Liberal"
13,"Austria",1995,"Social Democratic Party of Austria",NA,8,21,3.7293,3.4728,3.4766,"(1994,1999]","Social democracy"
13,"Austria",1995,"Austrian People's Party",NA,6,21,6.4733,6.9485,7.6198,"(1994,1999]","Christian democracy"
13,"Austria",1995,"The Greens -- The Green Alternative",NA,1,21,2.4604,2.7489,1.4308,"(1994,1999]","Green/Ecologist"
14,"Portugal",1994,"Democratic and Social Centre -- People's Party",12.85,3,25,8.0222,8.1963,8.9916,"(1989,1994]","Christian democracy"
