"","gov","senate","optout","p2p","election","previous_vote","current_vote","winner","female","quality","media_mentions","spending"
"1",0,0,0,0,2008,57.06,46.5,1,0,0,44,48748.27
"2",1,0,0,0,2006,59.83,57.06,1,0,0,60,39835.15
"3",0,0,0,0,2008,51.65,50.2,1,1,1,66,45483.75
"4",0,0,0,1,2006,41.55,46.88,1,1,0,330,67353.61
"5",0,0,0,1,2008,47.89,46,1,0,0,1,77254.33
"6",0,0,0,0,2006,55.55,47.89,1,0,0,9,45705.94
"7",0,0,0,1,2008,46.85,36,0,0,0,113,71442.68
"8",0,0,0,0,2006,35.76,41.21,1,0,1,75,67733.6
"9",1,0,0,0,2006,48.12,46.85,1,0,0,52,73501.86
"10",1,0,0,1,2006,48.23,42.86,0,0,0,268,70900.54
"11",0,0,0,0,2008,39.25,42.3,1,1,0,337,74911.16
"12",0,0,0,1,2008,44.69,44.6,1,0,0,29,77996.5
"13",1,0,0,0,2006,42.31,44.69,1,0,0,17,76913.23
"14",0,0,0,0,2006,62.24,64.86,1,0,0,108,60428.64
"15",1,0,0,0,2008,49,56,1,0,1,14,81075.5
"16",0,0,0,1,2006,44.23,49,1,0,0,4,72619.63
"17",0,0,0,1,2006,70.06,62.42,1,0,0,26,64220.88
"18",0,0,0,1,2008,55.99,51.9,1,0,0,183,52570.98
"19",0,0,0,0,2008,51.12,46.8,1,0,0,35,44616.95
"20",0,0,0,0,2006,61.8,55.99,1,0,0,16,51230.23
"21",0,0,1,1,2006,38.44,24.19,0,0,0,18,36052
"22",1,0,0,0,2006,63.57,51.12,1,0,0,28,39758.11
"23",0,0,0,1,2006,40.35,39.27,1,1,0,478,50690.98
"24",1,0,0,0,2008,46.36,51.3,1,0,0,6,72429.83
"25",0,0,0,1,2006,40.74,47.02,1,1,0,142,64839.53
"26",0,0,0,0,2008,35.57,37.9,1,0,0,277,69094.92
"27",0,0,0,0,2006,51.99,50.85,1,0,0,294,40314.57
"28",0,0,0,0,2006,50.49,52.04,1,0,0,158,50744.39
