"","SMS","male","Age","donated","Roma_Inf"
"1","Greek Child",0,50,0,0
"2","Roma Child",1,56,0,0
"3","Roma Rights",1,56,0,0
"4","Roma Rights",1,56,0,0
"5","Roma Child",1,40,0,0
"6","Neutral Child",1,37,0,0
"7","Roma Rights",1,39,0,0
"8","Roma Rights",1,48,0,0
"9","Neutral Child",0,38,0,0
"10","Greek Rights",0,41,0,0
"11","Greek Child",1,39,0,0
"12","Greek Rights",1,43,0,0
"13","Greek Child",1,41,0,0
"14","Greek Rights",0,36,0,0
"15","Roma Child",0,58,0,0
"16","Neutral Rights",1,59,0,0
"17","Roma Child",1,35,0,0
"18","Roma Rights",1,46,0,0
"19","Greek Rights",0,56,0,0
"20","Neutral Child",1,42,0,0
"21","Roma Rights",0,57,0,0
"22","Neutral Child",1,61,0,0
"23","Roma Child",1,23,0,0
"24","Roma Child",0,38,0,0
"25","Roma Child",1,30,0,0
"26","Roma Rights",0,38,0,0
"27","Neutral Child",1,40,0,0
"28","Roma Child",0,44,0,0
"29","Neutral Child",1,32,0,0
"30","Roma Child",1,44,0,0
"31","Roma Rights",0,68,0,0
"32","Roma Rights",1,52,0,0
"33","Greek Child",0,40,0,0
"34","Roma Rights",0,56,0,0
"35","Greek Child",1,38,0,0
"36","Roma Rights",1,96,0,0
"37","Roma Child",1,47,0,0
"38","Greek Rights",0,36,0,0
"39","Greek Rights",0,35,0,0
"40","Greek Rights",1,47,0,0
"41","Neutral Child",1,40,0,0
"42","Roma Rights",1,30,0,0
"43","Greek Rights",0,42,0,0
"44","Roma Rights",1,32,0,0
"45","Roma Rights",1,36,0,0
"46","Greek Rights",1,39,0,0
"47","Roma Child",1,57,0,0
"48","Roma Child",0,36,0,0
"49","Roma Child",1,34,0,0
"50","Neutral Rights",1,36,0,0
"51","Neutral Rights",0,35,0,0
"52","Roma Child",1,34,0,0
"53","Greek Child",0,36,0,0
"54","Neutral Rights",1,31,0,0
"55","Greek Child",1,40,0,0
"56","Greek Rights",1,46,0,0
"57","Neutral Rights",1,40,0,0
"58","Greek Rights",1,40,0,0
"59","Neutral Child",1,39,0,0
"60","Neutral Child",0,42,0,0
"61","Greek Child",1,47,0,0
"62","Greek Rights",0,33,0,0
"63","Neutral Child",0,42,0,0
"64","Greek Rights",1,36,0,0
"65","Greek Child",0,116,0,0
"66","Greek Rights",0,37,0,0
"67","Roma Rights",0,96,0,0
"68","Neutral Rights",1,33,0,0
"69","Roma Child",0,35,0,0
"70","Roma Child",1,34,0,0
"71","Greek Child",1,96,0,0
"72","Roma Child",1,32,0,0
"73","Greek Child",1,49,0,0
"74","Roma Child",1,42,0,0
"75","Roma Rights",0,35,0,0
"76","Neutral Child",0,34,0,0
"77","Greek Child",1,35,0,0
"78","Greek Rights",1,42,0,0
"79","Greek Rights",1,38,0,0
