"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"1",0,1,99,3,3,2,"Alberta",99,"Non-religious"
"2",0,0,2,1,1,1,"British Columbia",99,"Other Christian"
"3",1,0,2,3,3,3,"Alberta",3,"Catholic"
"4",1,1,4,2,3,4,"Ontario",99,"Buddhist"
"5",0,0,99,4,4,4,"British Columbia",99,"Non-religious"
"6",1,1,3,3,2,4,"British Columbia",10,"Catholic"
"7",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"8",1,1,99,4,3,1,"Ontario",99,"Non-religious"
"9",0,1,99,3,3,3,"British Columbia",99,"Non-religious"
"10",1,0,1,2,2,2,"Alberta",99,"Buddhist"
"11",0,1,99,2,4,1,"Alberta",99,"Non-religious"
"12",0,1,99,1,3,3,"British Columbia",99,"Non-religious"
"13",1,0,1,3,2,3,"New Brunswick",5,"Catholic"
"14",1,0,99,4,3,3,"Ontario",99,"Non-religious"
"15",1,0,99,3,3,2,"British Columbia",99,"Non-religious"
"16",1,0,99,2,2,3,"British Columbia",99,"Non-religious"
"17",0,1,99,4,4,3,"Alberta",99,"Non-religious"
"19",1,0,1,1,3,3,"British Columbia",99,"Anglican"
"20",1,1,1,2,2,2,"British Columbia",5,"Catholic"
"21",1,1,99,3,3,3,"British Columbia",99,"Non-religious"
"22",1,0,2,2,2,3,"Alberta",6,"Catholic"
"23",0,1,99,2,2,1,"British Columbia",99,"Non-religious"
"24",1,1,2,1,1,2,"Quebec",7,"Catholic"
"25",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"26",1,0,1,2,2,5,"British Columbia",99,"Sikh"
"27",0,0,2,3,3,2,"British Columbia",99,"Buddhist"
"28",1,0,2,2,2,2,"Alberta",99,"Other Christian"
"29",1,1,99,3,3,3,"Alberta",99,"Non-religious"
"30",1,1,1,2,3,1,"British Columbia",99,"Buddhist"
"32",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"33",0,0,99,2,2,3,"Alberta",99,"Non-religious"
"34",0,0,2,3,3,3,"Alberta",4,"Catholic"
"36",1,1,4,4,2,2,"Alberta",7,"Catholic"
"37",0,1,99,4,4,3,"Alberta",99,"Non-religious"
"38",0,0,99,2,1,1,"Alberta",99,"Non-religious"
"40",0,0,2,2,4,3,"Alberta",99,"Buddhist"
"41",0,1,99,3,4,3,"British Columbia",99,"Non-religious"
"42",1,0,2,2,3,1,"British Columbia",99,"Buddhist"
"43",0,1,2,3,2,4,"Ontario",99,"Other Christian"
"44",1,1,99,1,2,1,"Quebec",99,"Non-religious"
"45",0,1,3,3,4,3,"Ontario",99,"Muslim"
"46",0,1,99,3,3,1,"Quebec",99,"Non-religious"
"47",0,1,99,3,3,2,"Quebec",99,"Non-religious"
"48",1,1,4,3,2,3,"Ontario",99,"Other Christian"
"49",0,0,99,4,4,1,"Ontario",99,"Non-religious"
"50",0,0,2,3,3,3,"British Columbia",99,"Muslim"
"51",0,1,4,3,3,2,"Ontario",99,"Other Christian"
"52",0,0,2,3,3,2,"Alberta",7,"Catholic"
"53",0,0,4,2,2,3,"British Columbia",99,"Buddhist"
"54",0,1,4,2,3,3,"British Columbia",8,"Catholic"
"55",0,1,99,3,3,3,"British Columbia",99,"Non-religious"
"56",0,1,99,3,2,2,"Alberta",99,"Non-religious"
"57",0,0,99,1,1,2,"Alberta",99,"Non-religious"
"58",0,1,99,3,3,3,"Ontario",99,"Non-religious"
"59",0,1,2,2,3,5,"Ontario",99,"Buddhist"
"60",1,0,1,3,4,3,"British Columbia",99,"Buddhist"
"61",0,0,99,3,3,4,"British Columbia",99,"Non-religious"
"62",0,1,1,2,3,3,"Ontario",99,"Buddhist"
"63",1,1,2,3,4,3,"British Columbia",99,"Other Christian"
"64",1,1,2,3,4,3,"British Columbia",99,"Other Christian"
"65",1,1,99,3,3,3,"British Columbia",99,"Non-religious"
"66",0,1,99,3,3,2,"British Columbia",99,"Non-religious"
"67",0,0,3,4,4,3,"Ontario",7,"Catholic"
"68",1,0,99,1,4,2,"British Columbia",99,"Non-religious"
"69",0,0,2,3,2,1,"Ontario",99,"Buddhist"
"70",1,0,99,2,2,2,"Ontario",99,"Non-religious"
"71",0,0,99,2,2,1,"British Columbia",99,"Non-religious"
